selection1_name,selection1_url,selection1_Quality_Ingredients,selection1_Potential_Allergens,selection1_Questionable_Ingrediens,selection1_Numeric_Ingredient_name,selection1_Numeric_Ingredient_selection2,selection1_Ingredients,selection1_selection4
Wysong Epigen,https://catfooddb.com/chewy/best-dry-cat-food/wysong-epigen-starch-free-chicken%252Fdp%252F103306,"organic chicken
chicken meal
turkey meal",fish oil,None,Protein:,60.00%,"Organic Chicken, Chicken Meal, Turkey Meal, Potato Protein, Meat Protein Isolate, Chicken Fat (preserved with Mixed Tocopherols), Gelatin, Dried Plain Beet Pulp, Natural Flavor, Coconut Oil, Chia Seeds, Salt, Minerals (Potassium Chloride, Zinc Proteinate, Zinc Sulfate, Ferrous Sulfate, Iron Proteinate, Copper Sulfate, Copper Proteinate, Manganese Sulfate, Manganese Proteinate, Sodium Selenite, Calcium Iodate), Taurine, Calcium Carbonate, Dried Tomato Pomace, Calcium Propionate (a preservative), Vitamins (Ascorbic Acid [source of Vitamin C], Vitamin E Supplement, Niacin Supplement, Calcium Pantothenate, Vitamin A Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin D3 Supplement, Biotin, Vitamin B12 Supplement, Folic Acid), Choline Chloride, Fish Oil, Yeast Extract, Dried Kelp, Organic Barley Grass Powder, Dried Blueberry Powder, Dried Yogurt, Dried Apple Fiber, Citric Acid (a preservative), Dried Kale, Dried Spinach, Dried Carrots, Inulin, Mixed Tocopherols (a preservative), Rosemary Extract, Yeast Culture, Dried Aspergillus oryzae Fermentation Extract, Dried Enterococcus faecium Fermentation Product, Dried Lactobacillus casei Fermentation Product, Dried Lactobacillus acidophilus Fermentation Product, Dried Bacillus subtilis Fermentation Extract, Dried Lactobacillus plantarum Fermentation Product, Dried Lactobacillus lactis Fermentation Product, Pepper","significantly more protein than average; 
significantly fewer carbohydrates than average; 
less fat than average; 
less fiber than average; 
significantly less moisture than an equivalent wet food; "
Wysong Epigen,https://catfooddb.com/chewy/best-dry-cat-food/wysong-epigen-starch-free-chicken%252Fdp%252F103306,"organic chicken
chicken meal
turkey meal",fish oil,None,Fat:,15.00%,"Organic Chicken, Chicken Meal, Turkey Meal, Potato Protein, Meat Protein Isolate, Chicken Fat (preserved with Mixed Tocopherols), Gelatin, Dried Plain Beet Pulp, Natural Flavor, Coconut Oil, Chia Seeds, Salt, Minerals (Potassium Chloride, Zinc Proteinate, Zinc Sulfate, Ferrous Sulfate, Iron Proteinate, Copper Sulfate, Copper Proteinate, Manganese Sulfate, Manganese Proteinate, Sodium Selenite, Calcium Iodate), Taurine, Calcium Carbonate, Dried Tomato Pomace, Calcium Propionate (a preservative), Vitamins (Ascorbic Acid [source of Vitamin C], Vitamin E Supplement, Niacin Supplement, Calcium Pantothenate, Vitamin A Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin D3 Supplement, Biotin, Vitamin B12 Supplement, Folic Acid), Choline Chloride, Fish Oil, Yeast Extract, Dried Kelp, Organic Barley Grass Powder, Dried Blueberry Powder, Dried Yogurt, Dried Apple Fiber, Citric Acid (a preservative), Dried Kale, Dried Spinach, Dried Carrots, Inulin, Mixed Tocopherols (a preservative), Rosemary Extract, Yeast Culture, Dried Aspergillus oryzae Fermentation Extract, Dried Enterococcus faecium Fermentation Product, Dried Lactobacillus casei Fermentation Product, Dried Lactobacillus acidophilus Fermentation Product, Dried Bacillus subtilis Fermentation Extract, Dried Lactobacillus plantarum Fermentation Product, Dried Lactobacillus lactis Fermentation Product, Pepper","significantly more protein than average; 
significantly fewer carbohydrates than average; 
less fat than average; 
less fiber than average; 
significantly less moisture than an equivalent wet food; "
Wysong Epigen,https://catfooddb.com/chewy/best-dry-cat-food/wysong-epigen-starch-free-chicken%252Fdp%252F103306,"organic chicken
chicken meal
turkey meal",fish oil,None,Fiber:,4.00%,"Organic Chicken, Chicken Meal, Turkey Meal, Potato Protein, Meat Protein Isolate, Chicken Fat (preserved with Mixed Tocopherols), Gelatin, Dried Plain Beet Pulp, Natural Flavor, Coconut Oil, Chia Seeds, Salt, Minerals (Potassium Chloride, Zinc Proteinate, Zinc Sulfate, Ferrous Sulfate, Iron Proteinate, Copper Sulfate, Copper Proteinate, Manganese Sulfate, Manganese Proteinate, Sodium Selenite, Calcium Iodate), Taurine, Calcium Carbonate, Dried Tomato Pomace, Calcium Propionate (a preservative), Vitamins (Ascorbic Acid [source of Vitamin C], Vitamin E Supplement, Niacin Supplement, Calcium Pantothenate, Vitamin A Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin D3 Supplement, Biotin, Vitamin B12 Supplement, Folic Acid), Choline Chloride, Fish Oil, Yeast Extract, Dried Kelp, Organic Barley Grass Powder, Dried Blueberry Powder, Dried Yogurt, Dried Apple Fiber, Citric Acid (a preservative), Dried Kale, Dried Spinach, Dried Carrots, Inulin, Mixed Tocopherols (a preservative), Rosemary Extract, Yeast Culture, Dried Aspergillus oryzae Fermentation Extract, Dried Enterococcus faecium Fermentation Product, Dried Lactobacillus casei Fermentation Product, Dried Lactobacillus acidophilus Fermentation Product, Dried Bacillus subtilis Fermentation Extract, Dried Lactobacillus plantarum Fermentation Product, Dried Lactobacillus lactis Fermentation Product, Pepper","significantly more protein than average; 
significantly fewer carbohydrates than average; 
less fat than average; 
less fiber than average; 
significantly less moisture than an equivalent wet food; "
Wysong Epigen,https://catfooddb.com/chewy/best-dry-cat-food/wysong-epigen-starch-free-chicken%252Fdp%252F103306,"organic chicken
chicken meal
turkey meal",fish oil,None,Carbs:,5.00%,"Organic Chicken, Chicken Meal, Turkey Meal, Potato Protein, Meat Protein Isolate, Chicken Fat (preserved with Mixed Tocopherols), Gelatin, Dried Plain Beet Pulp, Natural Flavor, Coconut Oil, Chia Seeds, Salt, Minerals (Potassium Chloride, Zinc Proteinate, Zinc Sulfate, Ferrous Sulfate, Iron Proteinate, Copper Sulfate, Copper Proteinate, Manganese Sulfate, Manganese Proteinate, Sodium Selenite, Calcium Iodate), Taurine, Calcium Carbonate, Dried Tomato Pomace, Calcium Propionate (a preservative), Vitamins (Ascorbic Acid [source of Vitamin C], Vitamin E Supplement, Niacin Supplement, Calcium Pantothenate, Vitamin A Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin D3 Supplement, Biotin, Vitamin B12 Supplement, Folic Acid), Choline Chloride, Fish Oil, Yeast Extract, Dried Kelp, Organic Barley Grass Powder, Dried Blueberry Powder, Dried Yogurt, Dried Apple Fiber, Citric Acid (a preservative), Dried Kale, Dried Spinach, Dried Carrots, Inulin, Mixed Tocopherols (a preservative), Rosemary Extract, Yeast Culture, Dried Aspergillus oryzae Fermentation Extract, Dried Enterococcus faecium Fermentation Product, Dried Lactobacillus casei Fermentation Product, Dried Lactobacillus acidophilus Fermentation Product, Dried Bacillus subtilis Fermentation Extract, Dried Lactobacillus plantarum Fermentation Product, Dried Lactobacillus lactis Fermentation Product, Pepper","significantly more protein than average; 
significantly fewer carbohydrates than average; 
less fat than average; 
less fiber than average; 
significantly less moisture than an equivalent wet food; "
Wysong Epigen,https://catfooddb.com/chewy/best-dry-cat-food/wysong-epigen-starch-free-chicken%252Fdp%252F103306,"organic chicken
chicken meal
turkey meal",fish oil,None,Ash:,6.00%,"Organic Chicken, Chicken Meal, Turkey Meal, Potato Protein, Meat Protein Isolate, Chicken Fat (preserved with Mixed Tocopherols), Gelatin, Dried Plain Beet Pulp, Natural Flavor, Coconut Oil, Chia Seeds, Salt, Minerals (Potassium Chloride, Zinc Proteinate, Zinc Sulfate, Ferrous Sulfate, Iron Proteinate, Copper Sulfate, Copper Proteinate, Manganese Sulfate, Manganese Proteinate, Sodium Selenite, Calcium Iodate), Taurine, Calcium Carbonate, Dried Tomato Pomace, Calcium Propionate (a preservative), Vitamins (Ascorbic Acid [source of Vitamin C], Vitamin E Supplement, Niacin Supplement, Calcium Pantothenate, Vitamin A Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin D3 Supplement, Biotin, Vitamin B12 Supplement, Folic Acid), Choline Chloride, Fish Oil, Yeast Extract, Dried Kelp, Organic Barley Grass Powder, Dried Blueberry Powder, Dried Yogurt, Dried Apple Fiber, Citric Acid (a preservative), Dried Kale, Dried Spinach, Dried Carrots, Inulin, Mixed Tocopherols (a preservative), Rosemary Extract, Yeast Culture, Dried Aspergillus oryzae Fermentation Extract, Dried Enterococcus faecium Fermentation Product, Dried Lactobacillus casei Fermentation Product, Dried Lactobacillus acidophilus Fermentation Product, Dried Bacillus subtilis Fermentation Extract, Dried Lactobacillus plantarum Fermentation Product, Dried Lactobacillus lactis Fermentation Product, Pepper","significantly more protein than average; 
significantly fewer carbohydrates than average; 
less fat than average; 
less fiber than average; 
significantly less moisture than an equivalent wet food; "
Wysong Epigen,https://catfooddb.com/chewy/best-dry-cat-food/wysong-epigen-starch-free-chicken%252Fdp%252F103306,"organic chicken
chicken meal
turkey meal",fish oil,None,Moisture:,10.00%,"Organic Chicken, Chicken Meal, Turkey Meal, Potato Protein, Meat Protein Isolate, Chicken Fat (preserved with Mixed Tocopherols), Gelatin, Dried Plain Beet Pulp, Natural Flavor, Coconut Oil, Chia Seeds, Salt, Minerals (Potassium Chloride, Zinc Proteinate, Zinc Sulfate, Ferrous Sulfate, Iron Proteinate, Copper Sulfate, Copper Proteinate, Manganese Sulfate, Manganese Proteinate, Sodium Selenite, Calcium Iodate), Taurine, Calcium Carbonate, Dried Tomato Pomace, Calcium Propionate (a preservative), Vitamins (Ascorbic Acid [source of Vitamin C], Vitamin E Supplement, Niacin Supplement, Calcium Pantothenate, Vitamin A Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin D3 Supplement, Biotin, Vitamin B12 Supplement, Folic Acid), Choline Chloride, Fish Oil, Yeast Extract, Dried Kelp, Organic Barley Grass Powder, Dried Blueberry Powder, Dried Yogurt, Dried Apple Fiber, Citric Acid (a preservative), Dried Kale, Dried Spinach, Dried Carrots, Inulin, Mixed Tocopherols (a preservative), Rosemary Extract, Yeast Culture, Dried Aspergillus oryzae Fermentation Extract, Dried Enterococcus faecium Fermentation Product, Dried Lactobacillus casei Fermentation Product, Dried Lactobacillus acidophilus Fermentation Product, Dried Bacillus subtilis Fermentation Extract, Dried Lactobacillus plantarum Fermentation Product, Dried Lactobacillus lactis Fermentation Product, Pepper","significantly more protein than average; 
significantly fewer carbohydrates than average; 
less fat than average; 
less fiber than average; 
significantly less moisture than an equivalent wet food; "
Primal Freeze-Dried Nuggets Chicken & Salmon,https://catfooddb.com/chewy/best-dry-cat-food/%252Fprimal-chicken-salmon-formula%252Fdp%252F43387,"chicken
chicken hearts
chicken necks
chicken livers
salmon",cod liver oil,None,Protein:,49.00%,"Chicken, Chicken Hearts, Chicken Necks, Chicken Livers, Salmon, Organic Pumpkin Seeds, Organic Sunflower Seeds, Organic Cranberries, Organic Blueberries, Organic Kale, Organic Squash, Organic Carrots, Organic Apples, Organic Broccoli, Organic Rosemary Extract, Organic Parsley, Organic Quinoa, Organic Apple Cider Vinegar, Fish Oil, Montmorillonite Clay, Organic Coconut Oil, Cod Liver Oil, Taurine, Vitamin E Supplement, Organic Ground Alfalfa, Dried Organic Kelp","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
Primal Freeze-Dried Nuggets Chicken & Salmon,https://catfooddb.com/chewy/best-dry-cat-food/%252Fprimal-chicken-salmon-formula%252Fdp%252F43387,"chicken
chicken hearts
chicken necks
chicken livers
salmon",cod liver oil,None,Fat:,26.00%,"Chicken, Chicken Hearts, Chicken Necks, Chicken Livers, Salmon, Organic Pumpkin Seeds, Organic Sunflower Seeds, Organic Cranberries, Organic Blueberries, Organic Kale, Organic Squash, Organic Carrots, Organic Apples, Organic Broccoli, Organic Rosemary Extract, Organic Parsley, Organic Quinoa, Organic Apple Cider Vinegar, Fish Oil, Montmorillonite Clay, Organic Coconut Oil, Cod Liver Oil, Taurine, Vitamin E Supplement, Organic Ground Alfalfa, Dried Organic Kelp","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
Primal Freeze-Dried Nuggets Chicken & Salmon,https://catfooddb.com/chewy/best-dry-cat-food/%252Fprimal-chicken-salmon-formula%252Fdp%252F43387,"chicken
chicken hearts
chicken necks
chicken livers
salmon",cod liver oil,None,Fiber:,2.00%,"Chicken, Chicken Hearts, Chicken Necks, Chicken Livers, Salmon, Organic Pumpkin Seeds, Organic Sunflower Seeds, Organic Cranberries, Organic Blueberries, Organic Kale, Organic Squash, Organic Carrots, Organic Apples, Organic Broccoli, Organic Rosemary Extract, Organic Parsley, Organic Quinoa, Organic Apple Cider Vinegar, Fish Oil, Montmorillonite Clay, Organic Coconut Oil, Cod Liver Oil, Taurine, Vitamin E Supplement, Organic Ground Alfalfa, Dried Organic Kelp","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
Primal Freeze-Dried Nuggets Chicken & Salmon,https://catfooddb.com/chewy/best-dry-cat-food/%252Fprimal-chicken-salmon-formula%252Fdp%252F43387,"chicken
chicken hearts
chicken necks
chicken livers
salmon",cod liver oil,None,Carbs:,9.00%,"Chicken, Chicken Hearts, Chicken Necks, Chicken Livers, Salmon, Organic Pumpkin Seeds, Organic Sunflower Seeds, Organic Cranberries, Organic Blueberries, Organic Kale, Organic Squash, Organic Carrots, Organic Apples, Organic Broccoli, Organic Rosemary Extract, Organic Parsley, Organic Quinoa, Organic Apple Cider Vinegar, Fish Oil, Montmorillonite Clay, Organic Coconut Oil, Cod Liver Oil, Taurine, Vitamin E Supplement, Organic Ground Alfalfa, Dried Organic Kelp","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
